Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,0,0,Cancellation Plan,4,MALAYSIA,10.0,0.0,33,0
JZI,1,0,Others,19,Others,22.0,7.7,26,0
EPX,0,0,2 way Comprehensive Plan,20,Others,112.0,0.0,59,0
C2B,1,0,Others,8,SINGAPORE,16.0,4.0,28,0
EPX,0,0,Cancellation Plan,2,SINGAPORE,10.0,0.0,36,0
EPX,0,0,Others,25,Others,50.0,0.0,36,0
EPX,0,0,Cancellation Plan,90,SINGAPORE,78.0,0.0,22,0
JZI,1,0,Others,4,THAILAND,22.0,7.7,39,0
EPX,0,0,Cancellation Plan,24,Others,80.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,43,Others,40.0,0.0,28,0
EPX,0,0,Cancellation Plan,6,SINGAPORE,10.0,0.0,43,0
EPX,0,0,2 way Comprehensive Plan,16,Others,47.0,0.0,36,0
EPX,0,0,Others,8,Others,25.0,0.0,27,0
EPX,0,0,Cancellation Plan,27,SINGAPORE,10.0,0.0,51,0
EPX,0,0,Others,34,THAILAND,23.0,0.0,36,0
EPX,0,0,2 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,65,0
EPX,0,0,Cancellation Plan,14,MALAYSIA,10.0,0.0,47,0
JZI,1,0,Others,12,Others,30.0,10.5,35,1
EPX,0,0,Cancellation Plan,31,Others,80.0,0.0,54,0
EPX,0,0,2 way Comprehensive Plan,43,Others,42.0,0.0,36,0
EPX,0,0,Cancellation Plan,5,MALAYSIA,10.0,0.0,23,0
EPX,0,0,2 way Comprehensive Plan,7,THAILAND,56.0,0.0,46,0
CWT,0,0,Rental Vehicle Excess Insurance,56,Others,19.8,11.88,33,0
EPX,0,0,Cancellation Plan,29,Others,14.0,0.0,36,0
C2B,1,0,Others,30,SINGAPORE,16.0,4.0,58,1
JZI,1,0,Others,8,THAILAND,30.0,10.5,42,0
CWT,0,0,Rental Vehicle Excess Insurance,58,Others,29.7,17.82,31,0
EPX,0,0,Cancellation Plan,19,Others,10.0,0.0,36,0
Others,0,0,Others,9,Others,36.0,23.4,29,0
C2B,1,0,Others,2,SINGAPORE,30.0,7.5,37,0
EPX,0,0,Cancellation Plan,24,THAILAND,31.0,0.0,36,0
