Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,57,0
EPX,Travel Agency,Online,Others,4,Others,10.0,0.0,33,0
Others,Airlines,Online,Others,19,Others,22.0,7.7,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,Others,112.0,0.0,59,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,28,0
EPX,Travel Agency,Online,Others,2,SINGAPORE,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,25,Others,50.0,0.0,36,0
EPX,Travel Agency,Online,Others,90,SINGAPORE,78.0,0.0,22,0
Others,Airlines,Online,Others,4,Others,22.0,7.7,39,0
EPX,Travel Agency,Online,Others,24,Others,80.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,Others,40.0,0.0,28,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,27,0
Others,Airlines,Online,Others,103,Others,26.0,9.1,48,0
C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,252.85,63.21,43,1
EPX,Travel Agency,Online,Others,6,SINGAPORE,10.0,0.0,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,Others,47.0,0.0,36,0
EPX,Travel Agency,Online,Others,8,Others,25.0,0.0,27,0
EPX,Travel Agency,Online,Others,27,SINGAPORE,10.0,0.0,51,0
EPX,Travel Agency,Online,Others,34,Others,23.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,Others,20.0,0.0,65,0
EPX,Travel Agency,Online,Others,14,Others,10.0,0.0,47,0
Others,Airlines,Online,Others,12,Others,30.0,10.5,35,1
EPX,Travel Agency,Online,Others,31,Others,80.0,0.0,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,43,Others,42.0,0.0,36,0
EPX,Travel Agency,Online,Others,5,Others,10.0,0.0,23,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,Others,56.0,0.0,46,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,Others,19.8,11.88,33,0
EPX,Travel Agency,Online,Others,29,Others,14.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,16.0,4.0,58,1
Others,Airlines,Online,Others,8,Others,30.0,10.5,42,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,58,Others,29.7,17.82,31,0
EPX,Travel Agency,Online,Others,19,Others,10.0,0.0,36,0
Others,Travel Agency,Online,Others,9,Others,36.0,23.4,29,0
C2B,Airlines,Online,Silver Plan,2,SINGAPORE,30.0,7.5,37,0
EPX,Travel Agency,Online,Others,24,Others,31.0,0.0,36,0
EPX,Travel Agency,Online,Others,38,Others,58.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,Others,9.9,5.94,26,0
EPX,Travel Agency,Online,Others,4,SINGAPORE,15.0,0.0,68,0
EPX,Travel Agency,Online,Others,42,Others,21.0,0.0,36,0
EPX,Travel Agency,Online,Others,11,Others,29.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,2,Others,32.0,0.0,35,0
Others,Airlines,Online,Others,30,Others,125.0,43.75,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,Others,48.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,29.7,17.82,27,0
EPX,Travel Agency,Online,Others,34,Others,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,Others,0.0,23.76,27,0
Others,Airlines,Online,Others,3,Others,21.04,7.36,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,40,Others,33.0,0.0,36,0
Others,Airlines,Online,Others,5,Others,26.0,9.1,29,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,79,Others,23.0,0.0,39,0
Others,Travel Agency,Online,Others,370,Others,204.6,132.99,39,1
Others,Travel Agency,Offline,Others,43,Others,29.0,9.57,8,0
EPX,Travel Agency,Online,Others,25,Others,34.0,0.0,36,0
